electorate,state,result,enrolment,yes_num,yes_per_cent,no_num,no_per_cent,formal_num,formal_per_cent,informal_num,informal_per_cent,total_num,total_per_cent
Banks,NSW,No,80254,34719,45.76,41156,54.24,75875,99.06,717,0.94,76592,95.44
Barton,NSW,Yes,83840,40691,51.76,37930,48.24,78621,98.88,887,1.12,79508,94.83
Bennelong,NSW,Yes,85000,43950,54.62,36508,45.38,80458,99.22,629,0.78,81087,95.4
Berowra,NSW,Yes,87351,42850,51.72,39993,48.28,82843,99.34,551,0.66,83394,95.47
Blaxland,NSW,No,81197,37013,48.99,38545,51.01,75558,98.31,1299,1.69,76857,94.65
Bradfield,NSW,Yes,81706,43000,55.61,34331,44.39,77331,99.44,439,0.56,77770,95.18
Calare,NSW,No,79082,27938,36.89,47788,63.11,75726,99.21,606,0.79,76332,96.52
Charlton,NSW,No,87830,36720,43.7,47308,56.3,84028,99.13,739,0.87,84767,96.51
Chifley,NSW,No,83852,33230,42.15,45601,57.85,78831,98.83,935,1.17,79766,95.13
Cook,NSW,No,81397,36420,47.13,40862,52.87,77282,99.31,535,0.69,77817,95.6
Cowper,NSW,No,80698,30100,39.39,46319,60.61,76419,99.32,523,0.68,76942,95.35
Cunningham,NSW,Yes,77766,39450,53.63,34110,46.37,73560,99.11,661,0.89,74221,95.44
Dobell,NSW,No,86105,34680,42.54,46839,57.46,81519,99.23,632,0.77,82151,95.41
Eden-Monaro,NSW,No,80101,34967,46.13,40841,53.87,75808,99.18,626,0.82,76434,95.42
Farrer,NSW,No,74884,24008,33.89,46823,66.11,70831,99.24,539,0.76,71370,95.31
Fowler,NSW,Yes,92848,44576,51.89,41334,48.11,85910,98.52,1287,1.48,87197,93.91
Gilmore,NSW,No,81457,32970,42.49,44626,57.51,77596,99.37,491,0.63,78087,95.86
Grayndler,NSW,Yes,86579,51774,64.77,28155,35.23,79929,98.8,974,1.2,80903,93.44
Greenway,NSW,No,88608,37660,45.02,45996,54.98,83656,98.79,1022,1.21,84678,95.56
Gwydir,NSW,No,73637,19274,27.79,50081,72.21,69355,99.4,418,0.6,69773,94.75
Hughes,NSW,No,89630,42049,49.16,43493,50.84,85542,99.23,663,0.77,86205,96.18
Hume,NSW,No,75872,25258,34.9,47122,65.1,72380,99.3,510,0.7,72890,96.07
Hunter,NSW,No,77641,27391,36.81,47014,63.19,74405,99.31,516,0.69,74921,96.5
Kingsford-Smith,NSW,Yes,80787,41655,55.19,33814,44.81,75469,99.03,741,0.97,76210,94.33
Lindsay,NSW,No,85979,33623,41.1,48180,58.9,81803,99.08,761,0.92,82564,96.03
Lowe,NSW,Yes,84056,44551,56.59,34176,43.41,78727,99.02,780,0.98,79507,94.59
Lyne,NSW,No,84455,31045,38.41,49785,61.59,80830,99.37,515,0.63,81345,96.32
Macarthur,NSW,No,96198,36694,40.2,54593,59.8,91287,99.13,805,0.87,92092,95.73
Mackellar,NSW,No,83428,38831,49.43,39730,50.57,78561,99.25,592,0.75,79153,94.88
Macquarie,NSW,No,83739,35038,44.07,44474,55.93,79512,99.25,597,0.75,80109,95.67
Mitchell,NSW,No,86151,38573,46.89,43684,53.11,82257,99.31,571,0.69,82828,96.14
New England,NSW,No,75295,23328,32.61,48203,67.39,71531,99.35,469,0.65,72000,95.62
Newcastle,NSW,Yes,78388,37797,51.02,36292,48.98,74089,99.21,588,0.79,74677,95.27
North Sydney,NSW,Yes,89652,51482,61.28,32527,38.72,84009,99.33,567,0.67,84576,94.34
Page,NSW,No,81079,29925,38.79,47213,61.21,77138,99.25,586,0.75,77724,95.86
Parkes,NSW,No,78598,22592,30.47,51549,69.53,74141,99.24,567,0.76,74708,95.05
Parramatta,NSW,No,80023,36405,48.35,38893,51.65,75298,99.14,655,0.86,75953,94.91
Paterson,NSW,No,84193,32129,39.67,48859,60.33,80988,99.28,584,0.72,81572,96.89
Prospect,NSW,No,79126,37060,49.81,37348,50.19,74408,98.65,1019,1.35,75427,95.33
Reid,NSW,No,83218,37802,48.99,39364,51.01,77166,98.51,1169,1.49,78335,94.13
Richmond,NSW,No,90466,39208,46.13,45790,53.87,84998,99.15,728,0.85,85726,94.76
Riverina,NSW,No,80610,25701,33.5,51017,66.5,76718,99.23,599,0.77,77317,95.91
Robertson,NSW,No,82618,34533,43.98,43991,56.02,78524,99.24,602,0.76,79126,95.77
Shortland,NSW,No,80518,34975,45.42,42024,54.58,76999,99.27,567,0.73,77566,96.33
Sydney,NSW,Yes,91774,56921,67.85,26973,32.15,83894,99.11,752,0.89,84646,92.23
Throsby,NSW,No,80339,35830,46.93,40525,53.07,76355,99.01,767,0.99,77122,96
Warringah,NSW,Yes,80154,40956,54.49,34208,45.51,75164,99.31,524,0.69,75688,94.43
Watson,NSW,Yes,81809,41253,54.39,34599,45.61,75852,98.71,990,1.29,76842,93.93
Wentworth,NSW,Yes,82922,46013,60.19,30435,39.81,76448,99.19,624,0.81,77072,92.95
Werriwa,NSW,No,83743,32772,41.85,45541,58.15,78313,98.92,854,1.08,79167,94.54
NSW Total,NSW,No,4146653,1817380,46.43,2096562,53.57,3913942,99.12,34772,0.88,3948714,95.23
Aston,VIC,Yes,87852,43210,51.55,40612,48.45,83822,99.12,745,0.88,84567,96.26
Ballarat,VIC,No,83847,32784,40.91,47345,59.09,80129,99.21,642,0.79,80771,96.33
Batman,VIC,Yes,89277,50809,61.25,32142,38.75,82951,98.67,1114,1.33,84065,94.16
Bendigo,VIC,No,85625,31333,38.22,50642,61.78,81975,99.28,595,0.72,82570,96.43
Bruce,VIC,Yes,86239,44229,54.47,36966,45.53,81195,98.99,828,1.01,82023,95.11
Burke,VIC,No,84099,35800,44.93,43885,55.07,79685,99.05,761,0.95,80446,95.66
Calwell,VIC,Yes,92440,46643,53.88,39918,46.12,86561,98.8,1048,1.2,87609,94.77
Casey,VIC,No,82779,35778,45.45,42937,54.55,78715,99.11,707,0.89,79422,95.94
Chisholm,VIC,Yes,86268,46815,57.26,34937,42.74,81752,99.15,704,0.85,82456,95.58
Corangamite,VIC,No,82467,35704,45.2,43280,54.8,78984,99.28,569,0.72,79553,96.47
Corio,VIC,No,84364,35762,44.53,44554,55.47,80316,98.98,828,1.02,81144,96.18
Deakin,VIC,Yes,84759,42565,52.87,37937,47.13,80502,99.17,675,0.83,81177,95.77
Dunkley,VIC,No,84034,36098,45.33,43533,54.67,79631,99.18,657,0.82,80288,95.54
Flinders,VIC,No,86381,34465,41.91,47779,58.09,82244,99.11,737,0.89,82981,96.06
Gellibrand,VIC,Yes,85563,44972,56.9,34069,43.1,79041,98.7,1045,1.3,80086,93.6
Gippsland,VIC,No,82446,27335,34.85,51092,65.15,78427,99.29,563,0.71,78990,95.81
Goldstein,VIC,Yes,89822,48951,58.01,35439,41.99,84390,99.29,600,0.71,84990,94.62
Higgins,VIC,Yes,87395,51813,63.66,29574,36.34,81387,99.19,666,0.81,82053,93.89
Holt,VIC,No,84725,38884,48.71,40947,51.29,79831,98.78,982,1.22,80813,95.38
Hotham,VIC,Yes,89452,45489,54.2,38445,45.8,83934,98.93,910,1.07,84844,94.85
Indi,VIC,No,84170,29451,36.87,50433,63.13,79884,99.28,580,0.72,80464,95.6
Isaacs,VIC,No,81327,35959,46.71,41031,53.29,76990,99.05,738,0.95,77728,95.57
Jagajaga,VIC,Yes,88028,47419,56.79,36083,43.21,83502,99.19,685,0.81,84187,95.64
Kooyong,VIC,Yes,86533,52335,64.24,29137,35.76,81472,99.24,628,0.76,82100,94.88
Lalor,VIC,No,84586,39127,48.73,41167,51.27,80294,98.86,929,1.14,81223,96.02
