electorate,state,enrolment,yes_num,yes_per_cent,no_num,no_per_cent,informal_num,informal_per_cent,total_num
Banks,NSW,108862,34793,38.44,55716,61.56,1266,1.38,91775
Barton,NSW,112669,37683,43.59,48768,56.41,1324,1.51,87775
Bennelong,NSW,117287,46348,48.03,50140,51.97,1082,1.11,97570
Berowra,NSW,107219,42187,46.7,48154,53.3,791,0.87,91132
Blaxland,NSW,110299,30786,37.9,50436,62.1,2244,2.69,83466
Bradfield,NSW,109603,47357,51.54,44524,48.46,841,0.91,92722
Calare,NSW,123089,29773,28.18,75888,71.82,1041,0.98,106702
Chifley,NSW,127433,40841,40.14,60911,59.86,1491,1.44,103243
Cook,NSW,111910,34166,36.2,60211,63.8,1003,1.05,95380
Cowper,NSW,132073,36238,33.41,72238,66.59,1350,1.23,109826
Cunningham,NSW,118427,51708,51.51,48670,48.49,1156,1.14,101534
Dobell,NSW,120355,35089,35.17,64678,64.83,1186,1.17,100953
Eden-Monaro,NSW,117428,39557,39.22,61300,60.78,1035,1.02,101892
Farrer,NSW,122149,25707,25.01,77069,74.99,964,0.93,103740
Fowler,NSW,112730,34957,39.61,53290,60.39,1646,1.83,89893
Gilmore,NSW,129320,41563,38.03,67732,61.97,1078,0.98,110373
Grayndler,NSW,111419,67387,74.35,23246,25.65,734,0.8,91367
Greenway,NSW,126428,44126,42.63,59387,57.37,1118,1.07,104631
Hughes,NSW,108616,38363,41.32,54477,58.68,865,0.92,93705
Hume,NSW,126270,27559,26.15,77840,73.85,925,0.87,106324
Hunter,NSW,132346,31481,28.6,78597,71.4,1112,1,111190
Kingsford Smith,NSW,115849,51101,55.05,41730,44.95,1030,1.1,93861
Lindsay,NSW,128298,32648,30.66,73840,69.34,1273,1.18,107761
Lyne,NSW,127089,27596,25.76,79530,74.24,959,0.89,108085
Macarthur,NSW,141022,39256,34.59,74240,65.41,1500,1.3,114996
Mackellar,NSW,112580,47532,50.2,47148,49.8,981,1.03,95661
Macquarie,NSW,109172,40152,43.12,52966,56.88,935,0.99,94053
McMahon,NSW,111600,29295,33.63,57823,66.37,1607,1.81,88725
Mitchell,NSW,128016,42982,40.13,64123,59.87,895,0.83,108000
New England,NSW,116060,23849,24.2,74699,75.8,872,0.88,99420
Newcastle,NSW,123715,53951,53.28,47307,46.72,1134,1.11,102392
